year,animal_type,outcome,region,region_total
2000,Other Animals,Rehomed,New South Wales,131
2000,Other Animals,Rehomed,Northern Territory,0
2000,Other Animals,Rehomed,Queensland,750
2000,Other Animals,Rehomed,South Australia,338
2000,Other Animals,Rehomed,Tasmania,36
2000,Other Animals,Rehomed,Victoria,176
2000,Other Animals,Rehomed,Western Australia,28
2000,Other Animals,Other,Australian Capital Territory,41
2000,Other Animals,Other,New South Wales,35
2000,Other Animals,Other,Northern Territory,0
2000,Other Animals,Other,Queensland,0
2000,Other Animals,Other,South Australia,0
2000,Other Animals,Other,Tasmania,28
2000,Other Animals,Other,Victoria,125
2000,Other Animals,Other,Western Australia,1
2000,Other Animals,Euthanized,Australian Capital Territory,63
2000,Other Animals,Euthanized,New South Wales,1416
2000,Other Animals,Euthanized,Northern Territory,0
2000,Other Animals,Euthanized,Queensland,202
2000,Other Animals,Euthanized,South Australia,196
2000,Other Animals,Euthanized,Tasmania,11
2000,Other Animals,Euthanized,Victoria,644
2000,Other Animals,Euthanized,Western Australia,6
2001,Dogs,Reclaimed,Australian Capital Territory,602
2001,Dogs,Reclaimed,New South Wales,3195
2001,Dogs,Reclaimed,Northern Territory,238
2001,Dogs,Reclaimed,Queensland,1270
2001,Dogs,Reclaimed,South Australia,2133
2001,Dogs,Reclaimed,Tasmania,495
2001,Dogs,Reclaimed,Victoria,6273
2001,Dogs,Reclaimed,Western Australia,813
2001,Dogs,Rehomed,Australian Capital Territory,985
2001,Dogs,Rehomed,New South Wales,6269
2001,Dogs,Rehomed,Northern Territory,699
2001,Dogs,Rehomed,Queensland,5104
2001,Dogs,Rehomed,South Australia,916
2001,Dogs,Rehomed,Tasmania,516
2001,Dogs,Rehomed,Victoria,5265
2001,Dogs,Rehomed,Western Australia,942
2001,Dogs,Other,Australian Capital Territory,8
2001,Dogs,Other,New South Wales,874
2001,Dogs,Other,Northern Territory,51
2001,Dogs,Other,Queensland,64
2001,Dogs,Other,South Australia,794
2001,Dogs,Other,Tasmania,148
2001,Dogs,Other,Victoria,430
2001,Dogs,Other,Western Australia,0
2001,Dogs,Euthanized,Australian Capital Territory,126
2001,Dogs,Euthanized,New South Wales,7082
2001,Dogs,Euthanized,Northern Territory,694
2001,Dogs,Euthanized,Queensland,7761
2001,Dogs,Euthanized,South Australia,1845
2001,Dogs,Euthanized,Tasmania,429
2001,Dogs,Euthanized,Victoria,5569
2001,Dogs,Euthanized,Western Australia,102
2001,Cats,Reclaimed,Australian Capital Territory,116
2001,Cats,Reclaimed,New South Wales,180
2001,Cats,Reclaimed,Northern Territory,40
2001,Cats,Reclaimed,Queensland,215
2001,Cats,Reclaimed,South Australia,187
2001,Cats,Reclaimed,Tasmania,75
2001,Cats,Reclaimed,Victoria,574
2001,Cats,Reclaimed,Western Australia,36
2001,Cats,Rehomed,Australian Capital Territory,1376
2001,Cats,Rehomed,New South Wales,3800
2001,Cats,Rehomed,Northern Territory,385
2001,Cats,Rehomed,Queensland,3566
2001,Cats,Rehomed,South Australia,940
2001,Cats,Rehomed,Tasmania,594
2001,Cats,Rehomed,Victoria,4326
2001,Cats,Rehomed,Western Australia,426
2001,Cats,Other,Australian Capital Territory,19
2001,Cats,Other,New South Wales,539
2001,Cats,Other,Northern Territory,50
2001,Cats,Other,Queensland,54
2001,Cats,Other,South Australia,286
2001,Cats,Other,Tasmania,220
2001,Cats,Other,Victoria,729
2001,Cats,Other,Western Australia,12
2001,Cats,Euthanized,Australian Capital Territory,785
2001,Cats,Euthanized,New South Wales,5981
2001,Cats,Euthanized,Northern Territory,927
2001,Cats,Euthanized,Queensland,10825
2001,Cats,Euthanized,South Australia,3264
2001,Cats,Euthanized,Tasmania,1151
2001,Cats,Euthanized,Victoria,7968
2001,Cats,Euthanized,Western Australia,108
2001,Horses,Reclaimed,Australian Capital Territory,0
2001,Horses,Reclaimed,New South Wales,4
2001,Horses,Reclaimed,Northern Territory,0
2001,Horses,Reclaimed,Queensland,0
2001,Horses,Reclaimed,South Australia,4
2001,Horses,Reclaimed,Tasmania,1
2001,Horses,Reclaimed,Victoria,2
2001,Horses,Reclaimed,Western Australia,0
2001,Horses,Rehomed,Australian Capital Territory,2
2001,Horses,Rehomed,New South Wales,8
2001,Horses,Rehomed,Northern Territory,0
2001,Horses,Rehomed,Queensland,13
2001,Horses,Rehomed,South Australia,2
2001,Horses,Rehomed,Tasmania,0
2001,Horses,Rehomed,Victoria,14
2001,Horses,Rehomed,Western Australia,0
2001,Horses,Other,Australian Capital Territory,0
2001,Horses,Other,New South Wales,1
2001,Horses,Other,Northern Territory,0
2001,Horses,Other,Queensland,0
2001,Horses,Other,South Australia,5
2001,Horses,Other,Tasmania,0
2001,Horses,Other,Victoria,0
2001,Horses,Other,Western Australia,2
2001,Horses,Euthanized,Australian Capital Territory,2
2001,Horses,Euthanized,New South Wales,1
2001,Horses,Euthanized,Northern Territory,0
2001,Horses,Euthanized,Queensland,1
2001,Horses,Euthanized,South Australia,1
2001,Horses,Euthanized,Tasmania,0
2001,Horses,Euthanized,Victoria,0
2001,Horses,Euthanized,Western Australia,0
2001,Livestock,Reclaimed,Australian Capital Territory,2
2001,Livestock,Reclaimed,New South Wales,11
2001,Livestock,Reclaimed,Northern Territory,0
2001,Livestock,Reclaimed,Queensland,5
2001,Livestock,Reclaimed,South Australia,653
2001,Livestock,Reclaimed,Tasmania,5
2001,Livestock,Reclaimed,Victoria,10
2001,Livestock,Reclaimed,Western Australia,2
2001,Livestock,Rehomed,Australian Capital Territory,128
2001,Livestock,Rehomed,New South Wales,80
2001,Livestock,Rehomed,Northern Territory,0
2001,Livestock,Rehomed,Queensland,240
2001,Livestock,Rehomed,South Australia,304
2001,Livestock,Rehomed,Tasmania,68
2001,Livestock,Rehomed,Victoria,100
2001,Livestock,Rehomed,Western Australia,18
2001,Livestock,Other,Australian Capital Territory,0
2001,Livestock,Other,New South Wales,146
2001,Livestock,Other,Northern Territory,0
2001,Livestock,Other,Queensland,0
2001,Livestock,Other,South Australia,30
2001,Livestock,Other,Tasmania,11
2001,Livestock,Other,Victoria,134
2001,Livestock,Other,Western Australia,2
2001,Livestock,Euthanized,Australian Capital Territory,1
2001,Livestock,Euthanized,New South Wales,110
2001,Livestock,Euthanized,Northern Territory,0
2001,Livestock,Euthanized,Queensland,257
2001,Livestock,Euthanized,South Australia,987
2001,Livestock,Euthanized,Tasmania,13
2001,Livestock,Euthanized,Victoria,108
2001,Livestock,Euthanized,Western Australia,4
2001,Wildlife,Released,Australian Capital Territory,537
2001,Wildlife,Released,New South Wales,517
2001,Wildlife,Released,Northern Territory,0
2001,Wildlife,Released,Queensland,843
2001,Wildlife,Released,South Australia,268
2001,Wildlife,Released,Tasmania,52
2001,Wildlife,Released,Victoria,1539
2001,Wildlife,Released,Western Australia,0
2001,Wildlife,Other,Australian Capital Territory,576
2001,Wildlife,Other,New South Wales,74
2001,Wildlife,Other,Northern Territory,0
2001,Wildlife,Other,Queensland,0
2001,Wildlife,Other,South Australia,649
2001,Wildlife,Other,Tasmania,37
2001,Wildlife,Other,Victoria,1819
2001,Wildlife,Other,Western Australia,0
2001,Wildlife,Euthanized,Australian Capital Territory,703
2001,Wildlife,Euthanized,New South Wales,514
2001,Wildlife,Euthanized,Northern Territory,0
2001,Wildlife,Euthanized,Queensland,917
2001,Wildlife,Euthanized,South Australia,994
2001,Wildlife,Euthanized,Tasmania,52
2001,Wildlife,Euthanized,Victoria,3108
2001,Wildlife,Euthanized,Western Australia,0
2001,Other Animals,Reclaimed,Australian Capital Territory,28
