animal_type,category,suburb,date_range,city,area
Dog,Fencing Issues,spring hill,2017-01-01,Brisbane,Central Brisbane
Dog,Fencing Issues,pallara,2017-01-01,Brisbane,South Brisbane
Dog,Fencing Issues,new farm,2017-01-01,Brisbane,Central Brisbane
Dog,NA,sinnamon park,2017-01-01,Brisbane,South Brisbane
Other Animal,Fencing Issues,upper brookfield,2017-01-01,Brisbane,West Brisbane
NA,Menacing,bracken ridge,2017-01-01,Brisbane,North Brisbane
NA,Attack On A Person,ellen grove,2017-01-01,Brisbane,South Brisbane
Dog,Fencing Issues,clayfield,2017-01-01,Brisbane,North Brisbane
Dog,Too Many Animals,lota,2017-01-01,Brisbane,East Brisbane
Dog,Defecating In Public,the gap,2017-01-01,Brisbane,West Brisbane
Other Animal,NA,richlands,2017-01-01,Brisbane,South Brisbane
Other Animal,Fox,chapel hill,2017-01-01,Brisbane,West Brisbane
NA,Menacing,zillmere,2017-01-01,Brisbane,North Brisbane
Other Animal,Fox,wishart,2017-01-01,Brisbane,South Brisbane
Dog,Unregistered,murarrie,2017-01-01,Brisbane,East Brisbane
Dog,Too Many Animals,murarrie,2017-01-01,Brisbane,East Brisbane
Dog,Unregistered,murarrie,2017-01-01,Brisbane,East Brisbane
Dog,Odour,newmarket,2017-01-01,Brisbane,North Brisbane
Cat,Trapping,rochedale,2017-01-01,Brisbane,South Brisbane
NA,Menacing,wakerley,2017-01-01,Brisbane,East Brisbane
NA,Attack On A Person,yeronga,2017-01-01,Brisbane,South Brisbane
Other Animal,Too Many Animals,auchenflower,2017-01-01,Brisbane,West Brisbane
Dog,Defecating In Public,greenslopes,2017-01-01,Brisbane,South Brisbane
Other Animal,Odour,sherwood,2017-01-01,Brisbane,West Brisbane
Dog,Unregistered,eight mile plains,2017-01-01,Brisbane,South Brisbane
NA,Not An Attack,northgate,2017-01-01,Brisbane,North Brisbane
Dog,Insufficient Space,anstead,2017-01-01,Brisbane,West Brisbane
Cat,Trapping,inala,2017-01-01,Brisbane,South Brisbane
Dog,Fencing Issues,coopers plains,2017-01-01,Brisbane,South Brisbane
NA,Menacing,brighton,2017-01-01,Brisbane,North Brisbane
NA,Menacing,stafford,2017-01-01,Brisbane,North Brisbane
NA,Attack On A Person,wavell heights,2017-01-01,Brisbane,North Brisbane
NA,Menacing,wakerley,2017-01-01,Brisbane,East Brisbane
NA,Menacing,wakerley,2017-01-01,Brisbane,East Brisbane
Dog,Fencing Issues,nundah,2017-01-01,Brisbane,North Brisbane
Cat,Trapping,zillmere,2017-01-01,Brisbane,North Brisbane
Dog,Defecating In Public,runcorn,2017-01-01,Brisbane,South Brisbane
Dog,Defecating In Public,carina,2017-01-01,Brisbane,East Brisbane
Dog,Fencing Issues,carina,2017-01-01,Brisbane,East Brisbane
NA,Attack On An Animal,morningside,2017-01-01,Brisbane,East Brisbane
Dog,Fencing Issues,sandgate,2017-01-01,Brisbane,North Brisbane
NA,Attack On A Person,morningside,2017-01-01,Brisbane,East Brisbane
Dog,Fencing Issues,richlands,2017-01-01,Brisbane,South Brisbane
Dog,Defecating In Public,newstead,2017-01-01,Brisbane,Central Brisbane
Other Animal,Fox,burbank,2017-01-01,Brisbane,South Brisbane
Cat,Trapping,ferny grove,2017-01-01,Brisbane,North Brisbane
NA,Attack On An Animal,tarragindi,2017-01-01,Brisbane,South Brisbane
Other Animal,Nuisance Animal,macgregor,2017-01-01,Brisbane,South Brisbane
Cat,Trapping,inala,2017-01-01,Brisbane,South Brisbane
NA,Attack On An Animal,oxley,2017-01-01,Brisbane,West Brisbane
Cat,NA,forest lake,2017-01-01,Brisbane,South Brisbane
Other Animal,Wild Dog,ferny grove,2017-01-01,Brisbane,North Brisbane
NA,Attack On An Animal,inala,2017-01-01,Brisbane,South Brisbane
Dog,NA,bardon,2017-01-01,Brisbane,West Brisbane
Other Animal,Odour,inala,2017-01-01,Brisbane,South Brisbane
Cat,Trapping,jindalee,2017-01-01,Brisbane,West Brisbane
NA,Attack On A Person,ferny grove,2017-01-01,Brisbane,North Brisbane
Other Animal,Rabbit,mount ommaney,2017-01-01,Brisbane,West Brisbane
Dog,Defecating In Public,nundah,2017-01-01,Brisbane,North Brisbane
NA,Attack On A Person,chapel hill,2017-01-01,Brisbane,West Brisbane
NA,Attack On A Person,keperra,2017-01-01,Brisbane,North Brisbane
Other Animal,NA,coorparoo,2017-01-01,Brisbane,East Brisbane
Other Animal,Nuisance Animal,sunnybank hills,2017-01-01,Brisbane,South Brisbane
Dog,Unregistered,stafford,2017-01-01,Brisbane,North Brisbane
Cat,NA,inala,2017-01-01,Brisbane,South Brisbane
NA,Not An Attack,ellen grove,2017-01-01,Brisbane,South Brisbane
Other Animal,Nuisance Animal,wishart,2017-01-01,Brisbane,South Brisbane
Cat,Trapping,sherwood,2017-01-01,Brisbane,West Brisbane
Cat,Trapping,yeerongpilly,2017-01-01,Brisbane,South Brisbane
NA,Menacing,windsor,2017-01-01,Brisbane,North Brisbane
Other Animal,Fencing Issues,runcorn,2017-01-01,Brisbane,South Brisbane
Other Animal,Fox,taigum,2017-01-01,Brisbane,North Brisbane
Dog,Defecating In Public,seventeen mile rocks,2017-01-01,Brisbane,South Brisbane
Other Animal,Pest / Feral Animal,virginia,2017-01-01,Brisbane,North Brisbane
Dog,Too Many Animals,wakerley,2017-01-01,Brisbane,East Brisbane
Dog,Unregistered,acacia ridge,2017-01-01,Brisbane,South Brisbane
Dog,Unregistered,acacia ridge,2017-01-01,Brisbane,South Brisbane
Dog,Unregistered,acacia ridge,2017-01-01,Brisbane,South Brisbane
Other Animal,Fox,karana downs,2017-01-01,Brisbane,West Brisbane
Cat,Trapping,sunnybank,2017-01-01,Brisbane,South Brisbane
Cat,Trapping,mcdowall,2017-01-01,Brisbane,North Brisbane
Cat,Trapping,wynnum,2017-01-01,Brisbane,East Brisbane
NA,Attack On A Person,zillmere,2017-01-01,Brisbane,North Brisbane
Dog,Fencing Issues,gordon park,2017-01-01,Brisbane,North Brisbane
Dog,Defecating In Public,the gap,2017-01-01,Brisbane,West Brisbane
Other Animal,Fox,gumdale,2017-01-01,Brisbane,East Brisbane
Cat,NA,mount gravatt east,2017-01-01,Brisbane,South Brisbane
Dog,Fencing Issues,holland park,2017-01-01,Brisbane,South Brisbane
Other Animal,Feral Goat,karawatha,2017-01-01,Brisbane,South Brisbane
Other Animal,Nuisance Animal,holland park,2017-01-01,Brisbane,South Brisbane
Dog,Too Many Animals,hawthorne,2017-01-01,Brisbane,East Brisbane
Dog,Defecating In Public,wilston,2017-01-01,Brisbane,North Brisbane
NA,Attack On A Person,keperra,2017-01-01,Brisbane,North Brisbane
Dog,Fencing Issues,inala,2017-01-01,Brisbane,South Brisbane
Dog,Fencing Issues,graceville,2017-01-01,Brisbane,West Brisbane
NA,Attack On An Animal,dutton park,2017-01-01,Brisbane,South Brisbane
Dog,Fencing Issues,graceville,2017-01-01,Brisbane,West Brisbane
Dog,Defecating In Public,carindale,2017-01-01,Brisbane,East Brisbane
Cat,NA,stafford,2017-01-01,Brisbane,North Brisbane
Dog,Fencing Issues,boondall,2017-01-01,Brisbane,North Brisbane
Dog,Fencing Issues,bracken ridge,2017-01-01,Brisbane,North Brisbane
Cat,Trapping,durack,2017-01-01,Brisbane,South Brisbane
Dog,Fencing Issues,sherwood,2017-01-01,Brisbane,West Brisbane
Cat,NA,mount gravatt east,2017-01-01,Brisbane,South Brisbane
Dog,Fencing Issues,chapel hill,2017-01-01,Brisbane,West Brisbane
Other Animal,Odour,mcdowall,2017-01-01,Brisbane,North Brisbane
Dog,Defecating In Public,ashgrove,2017-01-01,Brisbane,West Brisbane
Dog,Fencing Issues,new farm,2017-01-01,Brisbane,Central Brisbane
Dog,Fencing Issues,yeronga,2017-01-01,Brisbane,South Brisbane
Dog,Fencing Issues,yeronga,2017-01-01,Brisbane,South Brisbane
Cat,Trapping,seven hills,2017-01-01,Brisbane,East Brisbane
NA,Not An Attack,boondall,2017-01-01,Brisbane,North Brisbane
Dog,Fencing Issues,runcorn,2017-01-01,Brisbane,South Brisbane
Dog,Fencing Issues,keperra,2017-01-01,Brisbane,North Brisbane
NA,Attack On An Animal,sandgate,2017-01-01,Brisbane,North Brisbane
Dog,Defecating In Public,new farm,2017-01-01,Brisbane,Central Brisbane
Dog,Unregistered,wynnum west,2017-01-01,Brisbane,East Brisbane
Cat,Trapping,manly west,2017-01-01,Brisbane,East Brisbane
Other Animal,Rabbit,balmoral,2017-01-01,Brisbane,East Brisbane
Cat,Trapping,stafford heights,2017-01-01,Brisbane,North Brisbane
Other Animal,Rabbit,balmoral,2017-01-01,Brisbane,East Brisbane
Dog,Fencing Issues,ferny grove,2017-01-01,Brisbane,North Brisbane
Other Animal,Fox,ferny grove,2017-01-01,Brisbane,North Brisbane
NA,Menacing,coopers plains,2017-01-01,Brisbane,South Brisbane
Other Animal,Wild Dog,mount coot-tha,2017-01-01,Brisbane,West Brisbane
Cat,Trapping,aspley,2017-01-01,Brisbane,North Brisbane
Dog,Fencing Issues,ellen grove,2017-01-01,Brisbane,South Brisbane
Dog,Too Many Animals,chermside,2017-01-01,Brisbane,North Brisbane
Dog,Fencing Issues,murarrie,2017-01-01,Brisbane,East Brisbane
Dog,Fencing Issues,lota,2017-01-01,Brisbane,East Brisbane
NA,Menacing,balmoral,2017-01-01,Brisbane,East Brisbane
Dog,NA,highgate hill,2017-01-01,Brisbane,Central Brisbane
Other Animal,Pest / Feral Animal,coorparoo,2017-01-01,Brisbane,East Brisbane
Dog,Fencing Issues,carina heights,2017-01-01,Brisbane,East Brisbane
NA,Attack On A Person,camp hill,2017-01-01,Brisbane,East Brisbane
Dog,Fencing Issues,lutwyche,2017-01-01,Brisbane,North Brisbane
Dog,Fencing Issues,mansfield,2017-01-01,Brisbane,South Brisbane
Dog,Defecating In Public,lutwyche,2017-01-01,Brisbane,North Brisbane
Dog,Fencing Issues,windsor,2017-01-01,Brisbane,North Brisbane
NA,Not An Attack,graceville,2017-01-01,Brisbane,West Brisbane
Cat,Trapping,zillmere,2017-01-01,Brisbane,North Brisbane
Cat,NA,moorooka,2017-01-01,Brisbane,South Brisbane
NA,Attack On An Animal,keperra,2017-01-01,Brisbane,North Brisbane
NA,Attack On A Person,morningside,2017-01-01,Brisbane,East Brisbane
Cat,Trapping,ellen grove,2017-01-01,Brisbane,South Brisbane
Dog,Fencing Issues,kuraby,2017-01-01,Brisbane,South Brisbane
Dog,NA,fairfield,2017-01-01,Brisbane,South Brisbane
Other Animal,Nuisance Animal,inala,2017-01-01,Brisbane,South Brisbane
Dog,Fencing Issues,aspley,2017-01-01,Brisbane,North Brisbane
Dog,Fencing Issues,bracken ridge,2017-01-01,Brisbane,North Brisbane
Cat,Trapping,bracken ridge,2017-01-01,Brisbane,North Brisbane
Cat,NA,kuraby,2017-01-01,Brisbane,South Brisbane
Dog,Defecating In Public,kuraby,2017-01-01,Brisbane,South Brisbane
Other Animal,Wild Dog,upper brookfield,2017-01-01,Brisbane,West Brisbane
Dog,Fencing Issues,forest lake,2017-01-01,Brisbane,South Brisbane
Dog,Fencing Issues,bridgeman downs,2017-01-01,Brisbane,North Brisbane
Dog,Too Many Animals,bulimba,2017-01-01,Brisbane,East Brisbane
Dog,Unregistered,ellen grove,2017-01-01,Brisbane,South Brisbane
Dog,Defecating In Public,manly,2017-01-01,Brisbane,East Brisbane
Dog,Fencing Issues,annerley,2017-01-01,Brisbane,South Brisbane
NA,Attack On An Animal,yeronga,2017-01-01,Brisbane,South Brisbane
Dog,Too Many Animals,gordon park,2017-01-01,Brisbane,North Brisbane
NA,Attack On An Animal,sandgate,2017-01-01,Brisbane,North Brisbane
Dog,Fencing Issues,paddington,2017-01-01,Brisbane,Central Brisbane
Dog,Fencing Issues,paddington,2017-01-01,Brisbane,Central Brisbane
NA,Menacing,yeronga,2017-01-01,Brisbane,South Brisbane
Cat,Trapping,coorparoo,2017-01-01,Brisbane,East Brisbane
Cat,Trapping,forest lake,2017-01-01,Brisbane,South Brisbane
Dog,Fencing Issues,graceville,2017-01-01,Brisbane,West Brisbane
NA,Attack On A Person,inala,2017-01-01,Brisbane,South Brisbane
Other Animal,Nuisance Animal,inala,2017-01-01,Brisbane,South Brisbane
Dog,Fencing Issues,wynnum west,2017-01-01,Brisbane,East Brisbane
Dog,Fencing Issues,wakerley,2017-01-01,Brisbane,East Brisbane
Other Animal,Fox,mansfield,2017-01-01,Brisbane,South Brisbane
Other Animal,Fox,pullenvale,2017-01-01,Brisbane,West Brisbane
Dog,Fencing Issues,kelvin grove,2017-01-01,Brisbane,Central Brisbane
Cat,Trapping,yeerongpilly,2017-01-01,Brisbane,South Brisbane
Dog,Fencing Issues,sunnybank,2017-01-01,Brisbane,South Brisbane
NA,Attack On An Animal,camp hill,2017-01-01,Brisbane,East Brisbane
Dog,Fencing Issues,paddington,2017-01-01,Brisbane,Central Brisbane
Dog,Fencing Issues,paddington,2017-01-01,Brisbane,Central Brisbane
Cat,Trapping,lota,2017-01-01,Brisbane,East Brisbane
Cat,Trapping,holland park,2017-01-01,Brisbane,South Brisbane
Dog,Defecating In Public,boondall,2017-01-01,Brisbane,North Brisbane
Dog,Defecating In Public,bardon,2017-01-01,Brisbane,West Brisbane
Dog,Defecating In Public,ashgrove,2017-01-01,Brisbane,West Brisbane
Cat,Trapping,chapel hill,2017-01-01,Brisbane,West Brisbane
NA,Attack On An Animal,acacia ridge,2017-01-01,Brisbane,South Brisbane
Other Animal,Fox,the gap,2017-01-01,Brisbane,West Brisbane
Dog,Fencing Issues,chermside,2017-01-01,Brisbane,North Brisbane
Dog,Defecating In Public,the gap,2017-01-01,Brisbane,West Brisbane
Dog,Unregistered,oxley,2017-01-01,Brisbane,West Brisbane
NA,Attack On An Animal,banyo,2017-01-01,Brisbane,North Brisbane
Other Animal,Fencing Issues,west end,2017-01-01,Brisbane,Central Brisbane
NA,Menacing,windsor,2017-01-01,Brisbane,North Brisbane
Other Animal,Fox,coopers plains,2017-01-01,Brisbane,South Brisbane
Cat,Trapping,kenmore,2017-01-01,Brisbane,West Brisbane
Dog,Fencing Issues,acacia ridge,2017-01-01,Brisbane,South Brisbane
Cat,Trapping,the gap,2017-01-01,Brisbane,West Brisbane
NA,Not An Attack,calamvale,2017-01-01,Brisbane,South Brisbane
Dog,Fencing Issues,mount gravatt,2017-01-01,Brisbane,South Brisbane
Dog,Fencing Issues,mount gravatt,2017-01-01,Brisbane,South Brisbane
Dog,Fencing Issues,sunnybank hills,2017-01-01,Brisbane,South Brisbane
Cat,Trapping,carina,2017-01-01,Brisbane,East Brisbane
Other Animal,Rabbit,gumdale,2017-01-01,Brisbane,East Brisbane
Cat,Trapping,ellen grove,2017-01-01,Brisbane,South Brisbane
Dog,Unregistered,riverhills,2017-01-01,Brisbane,West Brisbane
Dog,Defecating In Public,fitzgibbon,2017-01-01,Brisbane,North Brisbane
Dog,Defecating In Public,bardon,2017-01-01,Brisbane,West Brisbane
Cat,Trapping,wynnum,2017-01-01,Brisbane,East Brisbane
Dog,Too Many Animals,tingalpa,2017-01-01,Brisbane,East Brisbane
Other Animal,Fencing Issues,shorncliffe,2017-01-01,Brisbane,North Brisbane
Dog,Fencing Issues,kenmore,2017-01-01,Brisbane,West Brisbane
NA,Attack On A Person,moorooka,2017-01-01,Brisbane,South Brisbane
Dog,Fencing Issues,carina,2017-01-01,Brisbane,East Brisbane
Other Animal,Fencing Issues,ashgrove,2017-01-01,Brisbane,West Brisbane
NA,Menacing,macgregor,2017-01-01,Brisbane,South Brisbane
Dog,Fencing Issues,keperra,2017-01-01,Brisbane,North Brisbane
Other Animal,Wild Dog,upper brookfield,2017-01-01,Brisbane,West Brisbane
NA,Attack On A Person,sunnybank hills,2017-01-01,Brisbane,South Brisbane
Cat,NA,taigum,2017-01-01,Brisbane,North Brisbane
NA,Attack On An Animal,wakerley,2017-01-01,Brisbane,East Brisbane
Other Animal,Fencing Issues,pallara,2017-01-01,Brisbane,South Brisbane
Dog,Defecating In Public,gordon park,2017-01-01,Brisbane,North Brisbane
NA,Attack On An Animal,new farm,2017-01-01,Brisbane,Central Brisbane
NA,Attack On A Person,wynnum west,2017-01-01,Brisbane,East Brisbane
Dog,Fencing Issues,zillmere,2017-01-01,Brisbane,North Brisbane
Other Animal,Fox,kenmore hills,2017-01-01,Brisbane,West Brisbane
NA,Attack On An Animal,wakerley,2017-01-01,Brisbane,East Brisbane
Dog,Too Many Animals,mount crosby,2017-01-01,Brisbane,West Brisbane
Dog,Defecating In Public,yeronga,2017-01-01,Brisbane,South Brisbane
Dog,Fencing Issues,seventeen mile rocks,2017-01-01,Brisbane,South Brisbane
NA,Menacing,deagon,2017-01-01,Brisbane,North Brisbane
NA,Not An Attack,the gap,2017-01-01,Brisbane,West Brisbane
Dog,Fencing Issues,zillmere,2017-01-01,Brisbane,North Brisbane
NA,NA,northgate,2017-01-01,Brisbane,North Brisbane
Other Animal,Fox,wakerley,2017-01-01,Brisbane,East Brisbane
Dog,Too Many Animals,bracken ridge,2017-01-01,Brisbane,North Brisbane
Dog,Too Many Animals,bracken ridge,2017-01-01,Brisbane,North Brisbane
Dog,Too Many Animals,bracken ridge,2017-01-01,Brisbane,North Brisbane
Other Animal,Nuisance Animal,karana downs,2017-01-01,Brisbane,West Brisbane
Cat,Trapping,petrie terrace,2017-01-01,Brisbane,Central Brisbane
NA,Menacing,new farm,2017-01-01,Brisbane,Central Brisbane
Other Animal,Fox,NA,2017-01-01,Brisbane,NA
Dog,Fencing Issues,fitzgibbon,2017-01-01,Brisbane,North Brisbane
NA,Attack On An Animal,sinnamon park,2017-01-01,Brisbane,South Brisbane
Dog,Defecating In Public,greenslopes,2017-01-01,Brisbane,South Brisbane
NA,Menacing,runcorn,2017-01-01,Brisbane,South Brisbane
NA,Attack On An Animal,bellbowrie,2017-01-01,Brisbane,West Brisbane
Dog,Too Many Animals,bellbowrie,2017-01-01,Brisbane,West Brisbane
NA,Not An Attack,lutwyche,2017-01-01,Brisbane,North Brisbane
Dog,Fencing Issues,ellen grove,2017-01-01,Brisbane,South Brisbane
Dog,Fencing Issues,inala,2017-01-01,Brisbane,South Brisbane
NA,Attack On A Person,runcorn,2017-01-01,Brisbane,South Brisbane
Dog,Fencing Issues,bellbowrie,2017-01-01,Brisbane,West Brisbane
Other Animal,Fox,chandler,2017-01-01,Brisbane,East Brisbane
Cat,Trapping,the gap,2017-01-01,Brisbane,West Brisbane
Cat,Trapping,norman park,2017-01-01,Brisbane,East Brisbane
NA,Attack On A Person,riverhills,2017-01-01,Brisbane,West Brisbane
Dog,Fencing Issues,riverhills,2017-01-01,Brisbane,West Brisbane
NA,Attack On An Animal,spring hill,2017-01-01,Brisbane,Central Brisbane
NA,Attack On A Person,darra,2017-01-01,Brisbane,South Brisbane
Dog,Too Many Animals,durack,2017-01-01,Brisbane,South Brisbane
NA,Attack On A Person,carina,2017-01-01,Brisbane,East Brisbane
Cat,Trapping,parkinson,2017-01-01,Brisbane,South Brisbane
Dog,Defecating In Public,tingalpa,2017-01-01,Brisbane,East Brisbane
Dog,Fencing Issues,zillmere,2017-01-01,Brisbane,North Brisbane
NA,Attack On An Animal,manly,2017-01-01,Brisbane,East Brisbane
Other Animal,Fox,kholo,2017-01-01,Brisbane,West Brisbane
Cat,NA,acacia ridge,2017-01-01,Brisbane,South Brisbane
Dog,Too Many Animals,durack,2017-01-01,Brisbane,South Brisbane
Dog,NA,durack,2017-01-01,Brisbane,South Brisbane
Cat,NA,coorparoo,2017-01-01,Brisbane,East Brisbane
Dog,Fencing Issues,gaythorne,2017-01-01,Brisbane,North Brisbane
Other Animal,Nuisance Animal,wynnum west,2017-01-01,Brisbane,East Brisbane
NA,Attack On An Animal,fitzgibbon,2017-01-01,Brisbane,North Brisbane
Cat,Trapping,corinda,2017-01-01,Brisbane,West Brisbane
Other Animal,Too Many Animals,bowen hills,2017-01-01,Brisbane,Central Brisbane
NA,Attack On An Animal,banyo,2017-01-01,Brisbane,North Brisbane
NA,Attack On An Animal,taigum,2017-01-01,Brisbane,North Brisbane
Dog,Fencing Issues,wynnum west,2017-01-01,Brisbane,East Brisbane
Cat,NA,inala,2017-01-01,Brisbane,South Brisbane
Other Animal,NA,brookfield,2017-01-01,Brisbane,West Brisbane
Cat,Trapping,bracken ridge,2017-01-01,Brisbane,North Brisbane
NA,Attack On An Animal,brighton,2017-01-01,Brisbane,North Brisbane
Dog,Fencing Issues,wynnum,2017-01-01,Brisbane,East Brisbane
Dog,Too Many Animals,northgate,2017-01-01,Brisbane,North Brisbane
NA,NA,pallara,2017-01-01,Brisbane,South Brisbane
Dog,Fencing Issues,chapel hill,2017-01-01,Brisbane,West Brisbane
Dog,NA,moorooka,2017-01-01,Brisbane,South Brisbane
Cat,NA,wakerley,2017-01-01,Brisbane,East Brisbane
Dog,Fencing Issues,albion,2017-01-01,Brisbane,North Brisbane
Dog,Too Many Animals,northgate,2017-01-01,Brisbane,North Brisbane
Dog,Too Many Animals,norman park,2017-01-01,Brisbane,East Brisbane
Dog,Fencing Issues,norman park,2017-01-01,Brisbane,East Brisbane
Dog,Fencing Issues,norman park,2017-01-01,Brisbane,East Brisbane
Other Animal,Fox,riverhills,2017-01-01,Brisbane,West Brisbane
Cat,NA,wynnum west,2017-01-01,Brisbane,East Brisbane
Dog,Fencing Issues,brighton,2017-01-01,Brisbane,North Brisbane
Dog,Fencing Issues,bellbowrie,2017-01-01,Brisbane,West Brisbane
NA,Attack On An Animal,hendra,2017-01-01,Brisbane,North Brisbane
Other Animal,Deer,jindalee,2017-01-01,Brisbane,West Brisbane
Other Animal,NA,brookfield,2017-01-01,Brisbane,West Brisbane
NA,Attack On An Animal,the gap,2017-01-01,Brisbane,West Brisbane
NA,Attack On A Person,coorparoo,2017-01-01,Brisbane,East Brisbane
Other Animal,NA,pullenvale,2017-01-01,Brisbane,West Brisbane
Other Animal,Odour,runcorn,2017-01-01,Brisbane,South Brisbane
Other Animal,Nuisance Animal,calamvale,2017-01-01,Brisbane,South Brisbane
NA,Attack On A Person,the gap,2017-01-01,Brisbane,West Brisbane
NA,Attack On An Animal,moggill,2017-01-01,Brisbane,West Brisbane
Dog,Fencing Issues,moorooka,2017-01-01,Brisbane,South Brisbane
Dog,NA,ascot,2017-01-01,Brisbane,North Brisbane
Dog,NA,bracken ridge,2017-01-01,Brisbane,North Brisbane
Dog,Fencing Issues,forest lake,2017-01-01,Brisbane,South Brisbane
NA,Attack On A Person,aspley,2017-01-01,Brisbane,North Brisbane
Dog,Fencing Issues,oxley,2017-01-01,Brisbane,West Brisbane
NA,Not An Attack,ascot,2017-01-01,Brisbane,North Brisbane
NA,Attack On An Animal,chermside west,2017-01-01,Brisbane,North Brisbane
Cat,Trapping,wynnum,2017-01-01,Brisbane,East Brisbane
NA,Attack On An Animal,brighton,2017-01-01,Brisbane,North Brisbane
NA,Menacing,deagon,2017-01-01,Brisbane,North Brisbane
Dog,Unregistered,holland park,2017-01-01,Brisbane,South Brisbane
Other Animal,Odour,carindale,2017-01-01,Brisbane,East Brisbane
NA,Attack On An Animal,new farm,2017-01-01,Brisbane,Central Brisbane
Cat,Trapping,upper kedron,2017-01-01,Brisbane,West Brisbane
Dog,Fencing Issues,salisbury,2017-01-01,Brisbane,South Brisbane
Cat,Trapping,zillmere,2017-01-01,Brisbane,North Brisbane
NA,Attack On A Person,new farm,2017-01-01,Brisbane,Central Brisbane
Dog,Fencing Issues,keperra,2017-01-01,Brisbane,North Brisbane
Other Animal,Pest / Feral Animal,inala,2017-01-01,Brisbane,South Brisbane
Cat,Trapping,zillmere,2017-01-01,Brisbane,North Brisbane
Dog,Fencing Issues,stafford,2017-01-01,Brisbane,North Brisbane
Dog,Fencing Issues,stafford,2017-01-01,Brisbane,North Brisbane
Dog,Fencing Issues,kuraby,2017-01-01,Brisbane,South Brisbane
Other Animal,Nuisance Animal,doolandella,2017-01-01,Brisbane,South Brisbane
NA,Attack On A Person,runcorn,2017-01-01,Brisbane,South Brisbane
NA,Attack On A Person,salisbury,2017-01-01,Brisbane,South Brisbane
Cat,NA,bald hills,2017-01-01,Brisbane,North Brisbane
Dog,NA,sumner,2017-01-01,Brisbane,South Brisbane
NA,Not An Attack,herston,2017-01-01,Brisbane,Central Brisbane
NA,Attack On An Animal,inala,2017-01-01,Brisbane,South Brisbane
Other Animal,Fox,sunnybank,2017-01-01,Brisbane,South Brisbane
Dog,Fencing Issues,hemmant,2017-01-01,Brisbane,East Brisbane
Other Animal,Fox,taigum,2017-01-01,Brisbane,North Brisbane
Other Animal,Fox,corinda,2017-01-01,Brisbane,West Brisbane
NA,Attack On An Animal,murarrie,2017-01-01,Brisbane,East Brisbane
NA,Attack On A Person,bracken ridge,2017-01-01,Brisbane,North Brisbane
NA,Attack On An Animal,chapel hill,2017-01-01,Brisbane,West Brisbane
Other Animal,Odour,westlake,2017-01-01,Brisbane,West Brisbane
Other Animal,Rabbit,red hill,2017-01-01,Brisbane,Central Brisbane
Dog,Fencing Issues,brighton,2017-01-01,Brisbane,North Brisbane
Dog,Defecating In Public,calamvale,2017-01-01,Brisbane,South Brisbane
Dog,Defecating In Public,calamvale,2017-01-01,Brisbane,South Brisbane
NA,Attack On An Animal,wakerley,2017-01-01,Brisbane,East Brisbane
Other Animal,Fox,sherwood,2017-01-01,Brisbane,West Brisbane
Dog,Defecating In Public,carina,2017-01-01,Brisbane,East Brisbane
Dog,Fencing Issues,banyo,2017-01-01,Brisbane,North Brisbane
Dog,Defecating In Public,morningside,2017-01-01,Brisbane,East Brisbane
Other Animal,Nuisance Animal,wynnum,2017-01-01,Brisbane,East Brisbane
Dog,Too Many Animals,algester,2017-01-01,Brisbane,South Brisbane
Dog,Fencing Issues,hemmant,2017-01-01,Brisbane,East Brisbane
Dog,Fencing Issues,fairfield,2017-01-01,Brisbane,South Brisbane
NA,Attack On A Person,wynnum,2017-01-01,Brisbane,East Brisbane
Dog,Fencing Issues,the gap,2017-01-01,Brisbane,West Brisbane
Cat,Trapping,manly west,2017-01-01,Brisbane,East Brisbane
Dog,Unregistered,darra,2017-01-01,Brisbane,South Brisbane
NA,Not An Attack,inala,2017-01-01,Brisbane,South Brisbane
NA,Attack On An Animal,wacol,2017-01-01,Brisbane,South Brisbane
NA,Menacing,calamvale,2017-01-01,Brisbane,South Brisbane
NA,Attack On An Animal,bellbowrie,2017-01-01,Brisbane,West Brisbane
NA,Menacing,burbank,2017-01-01,Brisbane,South Brisbane
Cat,Trapping,bracken ridge,2017-01-01,Brisbane,North Brisbane
Dog,Fencing Issues,murarrie,2017-01-01,Brisbane,East Brisbane
NA,Attack On An Animal,shorncliffe,2017-01-01,Brisbane,North Brisbane
Dog,Fencing Issues,brighton,2017-01-01,Brisbane,North Brisbane
Dog,Fencing Issues,holland park west,2017-01-01,Brisbane,South Brisbane
Other Animal,Fox,banyo,2017-01-01,Brisbane,North Brisbane
Dog,Fencing Issues,inala,2017-01-01,Brisbane,South Brisbane
Dog,Defecating In Public,jindalee,2017-01-01,Brisbane,West Brisbane
Dog,Defecating In Public,wynnum,2017-01-01,Brisbane,East Brisbane
Dog,Defecating In Public,fitzgibbon,2017-01-01,Brisbane,North Brisbane
Other Animal,Feral Cat,willawong,2017-01-01,Brisbane,South Brisbane
Cat,NA,willawong,2017-01-01,Brisbane,South Brisbane
Cat,NA,willawong,2017-01-01,Brisbane,South Brisbane
Other Animal,Wild Dog,burbank,2017-01-01,Brisbane,South Brisbane
Other Animal,Fencing Issues,rocklea,2017-01-01,Brisbane,South Brisbane
Dog,Defecating In Public,sandgate,2017-01-01,Brisbane,North Brisbane
NA,Attack On A Person,holland park,2017-01-01,Brisbane,South Brisbane
Dog,Fencing Issues,wynnum west,2017-01-01,Brisbane,East Brisbane
