animal_type,category,suburb,date_range,city,area
NA,Attack On A Person,greenslopes,2016-01-01,Brisbane,South Brisbane
Dog,Fencing Issues,ellen grove,2016-01-01,Brisbane,South Brisbane
Other Animal,Deer,pullenvale,2016-01-01,Brisbane,West Brisbane
Dog,Too Many Animals,keperra,2016-01-01,Brisbane,North Brisbane
Dog,Defecating In Public,carina,2016-01-01,Brisbane,East Brisbane
Dog,Unregistered,bracken ridge,2016-01-01,Brisbane,North Brisbane
Dog,Unregistered,bracken ridge,2016-01-01,Brisbane,North Brisbane
Dog,Too Many Animals,riverhills,2016-01-01,Brisbane,West Brisbane
NA,NA,karana downs,2016-01-01,Brisbane,West Brisbane
Other Animal,Defecating In Public,norman park,2016-01-01,Brisbane,East Brisbane
Other Animal,Fox,wakerley,2016-01-01,Brisbane,East Brisbane
Dog,Fencing Issues,camp hill,2016-01-01,Brisbane,East Brisbane
Other Animal,Fox,red hill,2016-01-01,Brisbane,Central Brisbane
Dog,NA,keperra,2016-01-01,Brisbane,North Brisbane
Other Animal,Nuisance Animal,durack,2016-01-01,Brisbane,South Brisbane
NA,Menacing,forest lake,2016-01-01,Brisbane,South Brisbane
Dog,Too Many Animals,chermside west,2016-01-01,Brisbane,North Brisbane
Dog,Fencing Issues,chermside west,2016-01-01,Brisbane,North Brisbane
Dog,Fencing Issues,deagon,2016-01-01,Brisbane,North Brisbane
NA,Attack On A Person,chapel hill,2016-01-01,Brisbane,West Brisbane
NA,Attack On A Person,chermside west,2016-01-01,Brisbane,North Brisbane
NA,NA,acacia ridge,2016-01-01,Brisbane,South Brisbane
NA,Not An Attack,sunnybank hills,2016-01-01,Brisbane,South Brisbane
NA,Attack On A Person,morningside,2016-01-01,Brisbane,East Brisbane
Cat,Trapping,woolloongabba,2016-01-01,Brisbane,Central Brisbane
Cat,NA,the gap,2016-01-01,Brisbane,West Brisbane
Dog,Too Many Animals,holland park,2016-01-01,Brisbane,South Brisbane
NA,Attack On An Animal,brighton,2016-01-01,Brisbane,North Brisbane
Other Animal,Nuisance Animal,sunnybank hills,2016-01-01,Brisbane,South Brisbane
Dog,Fencing Issues,mount gravatt east,2016-01-01,Brisbane,South Brisbane
Dog,Fencing Issues,keperra,2016-01-01,Brisbane,North Brisbane
Other Animal,Fox,morningside,2016-01-01,Brisbane,East Brisbane
Dog,Too Many Animals,keperra,2016-01-01,Brisbane,North Brisbane
NA,Attack On A Person,keperra,2016-01-01,Brisbane,North Brisbane
NA,Attack On An Animal,stretton,2016-01-01,Brisbane,South Brisbane
Cat,NA,highgate hill,2016-01-01,Brisbane,Central Brisbane
Dog,Fencing Issues,enoggera,2016-01-01,Brisbane,Central Brisbane
NA,Attack On An Animal,keperra,2016-01-01,Brisbane,North Brisbane
NA,Attack On A Person,mitchelton,2016-01-01,Brisbane,North Brisbane
Other Animal,Too Many Animals,forest lake,2016-01-01,Brisbane,South Brisbane
Dog,Defecating In Public,west end,2016-01-01,Brisbane,Central Brisbane
Dog,Fencing Issues,inala,2016-01-01,Brisbane,South Brisbane
Other Animal,Fox,mount gravatt east,2016-01-01,Brisbane,South Brisbane
NA,Attack On An Animal,holland park,2016-01-01,Brisbane,South Brisbane
NA,Not An Attack,manly,2016-01-01,Brisbane,East Brisbane
NA,Attack On A Person,paddington,2016-01-01,Brisbane,Central Brisbane
Other Animal,Too Many Animals,lota,2016-01-01,Brisbane,East Brisbane
Cat,Trapping,calamvale,2016-01-01,Brisbane,South Brisbane
Dog,Odour,enoggera,2016-01-01,Brisbane,Central Brisbane
Other Animal,Fencing Issues,tennyson,2016-01-01,Brisbane,South Brisbane
NA,Not An Attack,carseldine,2016-01-01,Brisbane,North Brisbane
NA,Menacing,toowong,2016-01-01,Brisbane,West Brisbane
Dog,Defecating In Public,bridgeman downs,2016-01-01,Brisbane,North Brisbane
Cat,Trapping,mansfield,2016-01-01,Brisbane,South Brisbane
NA,Attack On An Animal,calamvale,2016-01-01,Brisbane,South Brisbane
NA,Attack On An Animal,nathan,2016-01-01,Brisbane,South Brisbane
NA,Menacing,new farm,2016-01-01,Brisbane,Central Brisbane
Dog,Too Many Animals,keperra,2016-01-01,Brisbane,North Brisbane
Dog,Too Many Animals,wynnum,2016-01-01,Brisbane,East Brisbane
Other Animal,Pest / Feral Animal,hamilton,2016-01-01,Brisbane,North Brisbane
Dog,Too Many Animals,wynnum,2016-01-01,Brisbane,East Brisbane
NA,Attack On An Animal,morningside,2016-01-01,Brisbane,East Brisbane
NA,Attack On An Animal,upper mount gravatt,2016-01-01,Brisbane,South Brisbane
Other Animal,Deer,pullenvale,2016-01-01,Brisbane,West Brisbane
Dog,Fencing Issues,forest lake,2016-01-01,Brisbane,South Brisbane
Dog,Fencing Issues,forest lake,2016-01-01,Brisbane,South Brisbane
NA,Attack On A Person,greenslopes,2016-01-01,Brisbane,South Brisbane
Dog,Fencing Issues,manly west,2016-01-01,Brisbane,East Brisbane
Cat,Trapping,mount gravatt east,2016-01-01,Brisbane,South Brisbane
Dog,Defecating In Public,manly west,2016-01-01,Brisbane,East Brisbane
NA,Attack On An Animal,fitzgibbon,2016-01-01,Brisbane,North Brisbane
Dog,Fencing Issues,upper mount gravatt,2016-01-01,Brisbane,South Brisbane
NA,Attack On A Person,norman park,2016-01-01,Brisbane,East Brisbane
Dog,Too Many Animals,bardon,2016-01-01,Brisbane,West Brisbane
NA,Not An Attack,calamvale,2016-01-01,Brisbane,South Brisbane
Dog,Fencing Issues,moorooka,2016-01-01,Brisbane,South Brisbane
NA,Attack On An Animal,bald hills,2016-01-01,Brisbane,North Brisbane
NA,NA,coopers plains,2016-01-01,Brisbane,South Brisbane
Cat,Trapping,moorooka,2016-01-01,Brisbane,South Brisbane
NA,NA,runcorn,2016-01-01,Brisbane,South Brisbane
Dog,NA,upper mount gravatt,2016-01-01,Brisbane,South Brisbane
Cat,Trapping,carindale,2016-01-01,Brisbane,East Brisbane
NA,Attack On A Person,wacol,2016-01-01,Brisbane,South Brisbane
NA,Menacing,stafford,2016-01-01,Brisbane,North Brisbane
Cat,Trapping,robertson,2016-01-01,Brisbane,South Brisbane
Dog,Fencing Issues,brighton,2016-01-01,Brisbane,North Brisbane
Cat,Trapping,inala,2016-01-01,Brisbane,South Brisbane
Other Animal,Deer,brisbane city,2016-01-01,Brisbane,Central Brisbane
Dog,Fencing Issues,highgate hill,2016-01-01,Brisbane,Central Brisbane
Other Animal,Fox,rochedale,2016-01-01,Brisbane,South Brisbane
NA,Attack On An Animal,wynnum,2016-01-01,Brisbane,East Brisbane
NA,Not An Attack,balmoral,2016-01-01,Brisbane,East Brisbane
Dog,Defecating In Public,tarragindi,2016-01-01,Brisbane,South Brisbane
Other Animal,Nuisance Animal,holland park,2016-01-01,Brisbane,South Brisbane
NA,Attack On An Animal,cannon hill,2016-01-01,Brisbane,East Brisbane
NA,Attack On An Animal,seven hills,2016-01-01,Brisbane,East Brisbane
Dog,Defecating In Public,milton,2016-01-01,Brisbane,West Brisbane
Dog,Fencing Issues,moorooka,2016-01-01,Brisbane,South Brisbane
Dog,Too Many Animals,mcdowall,2016-01-01,Brisbane,North Brisbane
Dog,Fencing Issues,nundah,2016-01-01,Brisbane,North Brisbane
Dog,Fencing Issues,algester,2016-01-01,Brisbane,South Brisbane
NA,Dangerous,salisbury,2016-01-01,Brisbane,South Brisbane
NA,Attack On An Animal,the gap,2016-01-01,Brisbane,West Brisbane
Dog,Fencing Issues,dutton park,2016-01-01,Brisbane,South Brisbane
Dog,Fencing Issues,dutton park,2016-01-01,Brisbane,South Brisbane
NA,Menacing,enoggera,2016-01-01,Brisbane,Central Brisbane
NA,Not An Attack,jindalee,2016-01-01,Brisbane,West Brisbane
Cat,NA,boondall,2016-01-01,Brisbane,North Brisbane
NA,Attack On A Person,alderley,2016-01-01,Brisbane,North Brisbane
Dog,Too Many Animals,hawthorne,2016-01-01,Brisbane,East Brisbane
Dog,Defecating In Public,west end,2016-01-01,Brisbane,Central Brisbane
NA,Attack On An Animal,sinnamon park,2016-01-01,Brisbane,South Brisbane
Dog,Fencing Issues,chapel hill,2016-01-01,Brisbane,West Brisbane
Dog,Fencing Issues,gordon park,2016-01-01,Brisbane,North Brisbane
Dog,Fencing Issues,bracken ridge,2016-01-01,Brisbane,North Brisbane
Dog,Fencing Issues,bracken ridge,2016-01-01,Brisbane,North Brisbane
Cat,Trapping,sunnybank,2016-01-01,Brisbane,South Brisbane
NA,NA,bracken ridge,2016-01-01,Brisbane,North Brisbane
Cat,Trapping,bracken ridge,2016-01-01,Brisbane,North Brisbane
Other Animal,Fox,gumdale,2016-01-01,Brisbane,East Brisbane
Dog,Fencing Issues,albion,2016-01-01,Brisbane,North Brisbane
Other Animal,Rabbit,kenmore hills,2016-01-01,Brisbane,West Brisbane
Dog,Fencing Issues,chapel hill,2016-01-01,Brisbane,West Brisbane
Dog,Fencing Issues,algester,2016-01-01,Brisbane,South Brisbane
NA,Attack On A Person,wavell heights,2016-01-01,Brisbane,North Brisbane
Dog,Fencing Issues,stafford heights,2016-01-01,Brisbane,North Brisbane
NA,Menacing,coopers plains,2016-01-01,Brisbane,South Brisbane
Dog,Fencing Issues,alderley,2016-01-01,Brisbane,North Brisbane
Cat,Trapping,westlake,2016-01-01,Brisbane,West Brisbane
NA,Attack On A Person,st lucia,2016-01-01,Brisbane,West Brisbane
Cat,Trapping,spring hill,2016-01-01,Brisbane,Central Brisbane
Other Animal,Nuisance Animal,sunnybank hills,2016-01-01,Brisbane,South Brisbane
Dog,Fencing Issues,chapel hill,2016-01-01,Brisbane,West Brisbane
Dog,Fencing Issues,upper mount gravatt,2016-01-01,Brisbane,South Brisbane
Dog,Fencing Issues,inala,2016-01-01,Brisbane,South Brisbane
NA,Not An Attack,the gap,2016-01-01,Brisbane,West Brisbane
Dog,Defecating In Public,carseldine,2016-01-01,Brisbane,North Brisbane
Other Animal,Defecating In Public,wavell heights,2016-01-01,Brisbane,North Brisbane
Other Animal,Fox,ashgrove,2016-01-01,Brisbane,West Brisbane
Cat,NA,inala,2016-01-01,Brisbane,South Brisbane
Other Animal,Nuisance Animal,taigum,2016-01-01,Brisbane,North Brisbane
Dog,Fencing Issues,hendra,2016-01-01,Brisbane,North Brisbane
NA,Not An Attack,kenmore,2016-01-01,Brisbane,West Brisbane
NA,Menacing,forest lake,2016-01-01,Brisbane,South Brisbane
NA,Attack On An Animal,forest lake,2016-01-01,Brisbane,South Brisbane
NA,Attack On An Animal,manly west,2016-01-01,Brisbane,East Brisbane
Cat,NA,wynnum west,2016-01-01,Brisbane,East Brisbane
Dog,NA,carseldine,2016-01-01,Brisbane,North Brisbane
NA,Not An Attack,the gap,2016-01-01,Brisbane,West Brisbane
Cat,Trapping,shorncliffe,2016-01-01,Brisbane,North Brisbane
NA,NA,carina,2016-01-01,Brisbane,East Brisbane
Other Animal,Nuisance Animal,tingalpa,2016-01-01,Brisbane,East Brisbane
NA,Attack On An Animal,chermside west,2016-01-01,Brisbane,North Brisbane
NA,Attack On An Animal,carseldine,2016-01-01,Brisbane,North Brisbane
NA,Menacing,deagon,2016-01-01,Brisbane,North Brisbane
NA,Attack On A Person,deagon,2016-01-01,Brisbane,North Brisbane
Dog,Fencing Issues,darra,2016-01-01,Brisbane,South Brisbane
Dog,Fencing Issues,carindale,2016-01-01,Brisbane,East Brisbane
Dog,Defecating In Public,aspley,2016-01-01,Brisbane,North Brisbane
Dog,Defecating In Public,aspley,2016-01-01,Brisbane,North Brisbane
Dog,Fencing Issues,westlake,2016-01-01,Brisbane,West Brisbane
Dog,Fencing Issues,westlake,2016-01-01,Brisbane,West Brisbane
Cat,NA,ellen grove,2016-01-01,Brisbane,South Brisbane
Dog,Fencing Issues,fitzgibbon,2016-01-01,Brisbane,North Brisbane
Dog,Fencing Issues,brighton,2016-01-01,Brisbane,North Brisbane
Dog,NA,brighton,2016-01-01,Brisbane,North Brisbane
NA,Menacing,keperra,2016-01-01,Brisbane,North Brisbane
NA,Attack On A Person,teneriffe,2016-01-01,Brisbane,Central Brisbane
Cat,NA,inala,2016-01-01,Brisbane,South Brisbane
Other Animal,Fox,pullenvale,2016-01-01,Brisbane,West Brisbane
Cat,Trapping,yeronga,2016-01-01,Brisbane,South Brisbane
Dog,Fencing Issues,kelvin grove,2016-01-01,Brisbane,Central Brisbane
NA,Not An Attack,brighton,2016-01-01,Brisbane,North Brisbane
Dog,Fencing Issues,wavell heights,2016-01-01,Brisbane,North Brisbane
Dog,Fencing Issues,stafford,2016-01-01,Brisbane,North Brisbane
Dog,Too Many Animals,acacia ridge,2016-01-01,Brisbane,South Brisbane
Dog,Fencing Issues,acacia ridge,2016-01-01,Brisbane,South Brisbane
Cat,Trapping,upper mount gravatt,2016-01-01,Brisbane,South Brisbane
Dog,Fencing Issues,bardon,2016-01-01,Brisbane,West Brisbane
Cat,Trapping,zillmere,2016-01-01,Brisbane,North Brisbane
Dog,Fencing Issues,bellbowrie,2016-01-01,Brisbane,West Brisbane
Dog,Fencing Issues,bellbowrie,2016-01-01,Brisbane,West Brisbane
Other Animal,Nuisance Animal,runcorn,2016-01-01,Brisbane,South Brisbane
Dog,Fencing Issues,acacia ridge,2016-01-01,Brisbane,South Brisbane
Dog,Fencing Issues,wacol,2016-01-01,Brisbane,South Brisbane
Dog,Fencing Issues,wacol,2016-01-01,Brisbane,South Brisbane
NA,Attack On A Person,kenmore,2016-01-01,Brisbane,West Brisbane
Other Animal,Odour,east brisbane,2016-01-01,Brisbane,Central Brisbane
Dog,Fencing Issues,camp hill,2016-01-01,Brisbane,East Brisbane
NA,Attack On An Animal,bracken ridge,2016-01-01,Brisbane,North Brisbane
Dog,Fencing Issues,salisbury,2016-01-01,Brisbane,South Brisbane
NA,Attack On A Person,greenslopes,2016-01-01,Brisbane,South Brisbane
NA,Menacing,kedron,2016-01-01,Brisbane,North Brisbane
NA,Dangerous,jamboree heights,2016-01-01,Brisbane,West Brisbane
Dog,Fencing Issues,the gap,2016-01-01,Brisbane,West Brisbane
NA,Attack On A Person,bardon,2016-01-01,Brisbane,West Brisbane
NA,Attack On An Animal,upper kedron,2016-01-01,Brisbane,West Brisbane
Dog,Fencing Issues,annerley,2016-01-01,Brisbane,South Brisbane
Dog,Fencing Issues,darra,2016-01-01,Brisbane,South Brisbane
Cat,Trapping,archerfield,2016-01-01,Brisbane,South Brisbane
NA,Attack On A Person,richlands,2016-01-01,Brisbane,South Brisbane
NA,Menacing,manly west,2016-01-01,Brisbane,East Brisbane
Cat,Trapping,woolloongabba,2016-01-01,Brisbane,Central Brisbane
Cat,Trapping,corinda,2016-01-01,Brisbane,West Brisbane
NA,Attack On An Animal,pallara,2016-01-01,Brisbane,South Brisbane
Dog,Fencing Issues,ashgrove,2016-01-01,Brisbane,West Brisbane
NA,Menacing,mount ommaney,2016-01-01,Brisbane,West Brisbane
NA,Attack On A Person,chermside,2016-01-01,Brisbane,North Brisbane
Other Animal,Defecating In Public,gordon park,2016-01-01,Brisbane,North Brisbane
Dog,Fencing Issues,stafford heights,2016-01-01,Brisbane,North Brisbane
Dog,Fencing Issues,bardon,2016-01-01,Brisbane,West Brisbane
Dog,Fencing Issues,stafford heights,2016-01-01,Brisbane,North Brisbane
NA,Menacing,upper mount gravatt,2016-01-01,Brisbane,South Brisbane
NA,Attack On An Animal,graceville,2016-01-01,Brisbane,West Brisbane
Dog,Fencing Issues,tarragindi,2016-01-01,Brisbane,South Brisbane
NA,Menacing,banyo,2016-01-01,Brisbane,North Brisbane
NA,Attack On An Animal,bracken ridge,2016-01-01,Brisbane,North Brisbane
Other Animal,Nuisance Animal,darra,2016-01-01,Brisbane,South Brisbane
Dog,Fencing Issues,red hill,2016-01-01,Brisbane,Central Brisbane
Other Animal,NA,pullenvale,2016-01-01,Brisbane,West Brisbane
Dog,Fencing Issues,enoggera,2016-01-01,Brisbane,Central Brisbane
Cat,Trapping,sunnybank,2016-01-01,Brisbane,South Brisbane
Dog,NA,wynnum west,2016-01-01,Brisbane,East Brisbane
Cat,Trapping,clayfield,2016-01-01,Brisbane,North Brisbane
Dog,Fencing Issues,pallara,2016-01-01,Brisbane,South Brisbane
Cat,Trapping,kuraby,2016-01-01,Brisbane,South Brisbane
Dog,Fencing Issues,manly west,2016-01-01,Brisbane,East Brisbane
NA,Attack On An Animal,carina,2016-01-01,Brisbane,East Brisbane
Dog,Fencing Issues,ferny grove,2016-01-01,Brisbane,North Brisbane
Cat,Trapping,robertson,2016-01-01,Brisbane,South Brisbane
Dog,Defecating In Public,mitchelton,2016-01-01,Brisbane,North Brisbane
NA,Attack On An Animal,upper kedron,2016-01-01,Brisbane,West Brisbane
Cat,Trapping,boondall,2016-01-01,Brisbane,North Brisbane
NA,Attack On A Person,moorooka,2016-01-01,Brisbane,South Brisbane
NA,Attack On An Animal,bracken ridge,2016-01-01,Brisbane,North Brisbane
Other Animal,Nuisance Animal,jindalee,2016-01-01,Brisbane,West Brisbane
Dog,Too Many Animals,graceville,2016-01-01,Brisbane,West Brisbane
Dog,Fencing Issues,rochedale,2016-01-01,Brisbane,South Brisbane
Dog,Fencing Issues,westlake,2016-01-01,Brisbane,West Brisbane
Other Animal,Nuisance Animal,shorncliffe,2016-01-01,Brisbane,North Brisbane
Cat,Trapping,mount gravatt east,2016-01-01,Brisbane,South Brisbane
Dog,Fencing Issues,camp hill,2016-01-01,Brisbane,East Brisbane
Dog,Too Many Animals,camp hill,2016-01-01,Brisbane,East Brisbane
